WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
17,Bogota,Copa Colsanitas,4/3/2023,WTA250,Outdoor,Clay,1st Round,3,Rakhimova K.,Serban R.,90,155,712,427,7,6,6,3,,,2,0,Completed,1.5,2.63,1.55,2.6,1.55,2.7,1.5,2.53
17,Bogota,Copa Colsanitas,4/3/2023,WTA250,Outdoor,Clay,1st Round,3,Pigossi L.,Samudio A.,101,1077,662,11,6,1,6,0,,,2,0,Completed,1.01,23,1.02,29.69,1.02,34,1.01,17.93
17,Bogota,Copa Colsanitas,4/3/2023,WTA250,Outdoor,Clay,1st Round,3,Bouchard E.,In-Albon Y.,327,137,184,486,6,3,6,2,,,2,0,Completed,1.53,2.5,1.61,2.45,1.61,2.5,1.55,2.42
17,Bogota,Copa Colsanitas,4/3/2023,WTA250,Outdoor,Clay,1st Round,3,Stevanovic N.,Bassols M.,224,122,294,543,7,6,7,5,,,2,0,Completed,2.75,1.44,2.83,1.48,2.88,1.48,2.72,1.45
17,Bogota,Copa Colsanitas,4/3/2023,WTA250,Outdoor,Clay,1st Round,3,Jones F.,Parrizas Diaz N.,817,80,26,755,7,6,6,1,,,2,0,Completed,3.2,1.36,3.48,1.35,3.48,1.36,3.23,1.33
17,Bogota,Copa Colsanitas,4/3/2023,WTA250,Outdoor,Clay,1st Round,3,Zhao C.,Carle M.,174,154,377,429,4,6,7,5,7,6,2,1,Completed,2.5,1.53,2.42,1.63,2.6,1.63,2.38,1.56
17,Bogota,Copa Colsanitas,4/4/2023,WTA250,Outdoor,Clay,1st Round,3,Zidansek T.,Jani R.L.,110,130,595,515,6,0,6,1,,,2,0,Completed,1.14,5.5,1.15,6.44,1.18,6.44,1.14,5.56
17,Bogota,Copa Colsanitas,4/4/2023,WTA250,Outdoor,Clay,1st Round,3,Maria T.,Scott K.,66,161,851,416,6,1,6,4,,,2,0,Completed,1.29,3.75,1.28,4.08,1.29,4.25,1.25,3.88
17,Bogota,Copa Colsanitas,4/4/2023,WTA250,Outdoor,Clay,1st Round,3,Alves C.,Yastremska D.,239,134,275,505,4,6,7,6,6,2,2,1,Completed,5,1.17,5.27,1.19,5.54,1.19,5.08,1.16
17,Bogota,Copa Colsanitas,4/4/2023,WTA250,Outdoor,Clay,1st Round,3,Stearns P.,Vicens Mas R.,116,177,563,375,6,3,6,1,,,2,0,Completed,1.3,3.5,1.34,3.56,1.34,4,1.3,3.47
17,Bogota,Copa Colsanitas,4/4/2023,WTA250,Outdoor,Clay,1st Round,3,Tan H.,Arango E.,216,242,308,274,5,7,1,3,,,0,1,Retired,2.3,1.62,2.19,1.75,2.3,1.76,2.17,1.67
17,Bogota,Copa Colsanitas,4/4/2023,WTA250,Outdoor,Clay,1st Round,3,Brancaccio N.,Papamichail D.,206,152,321,439,6,2,6,2,,,2,0,Completed,1.8,2,1.8,2.12,1.83,2.12,1.77,2.03
17,Bogota,Copa Colsanitas,4/4/2023,WTA250,Outdoor,Clay,1st Round,3,Sorribes Tormo S.,Bolsova A.,106,147,607,446,6,0,6,4,,,2,0,Completed,1.57,2.38,1.68,2.31,1.68,2.46,1.59,2.33
17,Bogota,Copa Colsanitas,4/4/2023,WTA250,Outdoor,Clay,1st Round,3,Bjorklund M.,Mertens E.,133,29,506,1354,6,1,4,6,7,6,2,1,Completed,4.33,1.22,3.88,1.3,4.6,1.3,3.91,1.24
